model,statistics
NW_PARp,0.005022149827689866
NW_PARp-A,0.013025215282931102
PARp-A_J_20,0.12613967657555006
PARp-A_J_30,0.08553899414127183
PARp-A_J_40,0.12388009918441714
PARp-A_J_50,0.0857825395246974
PARp-A_J_60,0.05800172487161791
PARp-A_J_70,0.030231002647367
PARp-A_J_80,0.006439464819227271
PARp-A_w_2,-0.003950761712777463
PARp-A_w_4,-0.003616904305585503
PARp-A_w_11,-0.0007904535143344368
SeasonalNaive,0.024130889285405195
SARIMA,0.1021910279581598
StructuralModel,0.973880303636727
ScoreDrivenModel,0.1586916648859007
MonthlyMedian,-0.036352648337583
