model,statistics
NW_PARp,-0.008560311622717675
NW_PARp-A,-0.001512084610236661
PARp-A_J_20,0.11142552753638664
PARp-A_J_30,0.11440557164207325
PARp-A_J_40,0.12893311422334452
PARp-A_J_50,0.07765614129751078
PARp-A_J_60,0.05266058214032393
PARp-A_J_70,0.027781619213334524
PARp-A_J_80,-0.0017625951692931186
PARp-A_w_2,-0.018396424457871593
PARp-A_w_4,-0.018146709846621194
PARp-A_w_11,-0.015497161544513843
SeasonalNaive,0.006312784728200708
SARIMA,0.10513402096960378
StructuralModel,0.9304389212449701
ScoreDrivenModel,0.15652153848178846
MonthlyMedian,-0.02522047246717914
