model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,2942.90261356875,3337.4253829827053,3347.273138343354,3330.436703461784,3348.1236610432697,3398.14801021129,3460.0236627159097,3448.92220570915,3350.8193517236837,3331.4720519370862,3351.6447549799996,3372.3314051543625,3391.04367579054,3404.5660575901356,3403.2153199400686,3421.4947282482754,3438.513452524305,3441.6025113304195,3448.660285757042,3453.7191437358147,3480.499508671428,3469.818748784173,3480.2049172065217,3494.46204119343
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,2954.1964449281245,3375.146079100629,3378.0952745079117,3361.036424727708,3363.0682319663465,3390.8698291016126,3451.9712324967522,3428.832645498366,3322.3587162253284,3308.508806054636,3343.896729948334,3347.6276629026843,3355.1421813581082,3373.3494394965987,3369.66066972774,3393.4995743741383,3426.416188373263,3431.188681711539,3440.0999950475352,3449.032016171985,3474.798140467857,3461.9946936007195,3470.167316197463,3492.597127576643
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,4415.595236714996,4952.781573665318,4654.536933466141,4505.807514367907,4198.422695875528,4075.586665877638,4114.5556423828975,4009.2921425886766,3737.9382073139973,3665.7964828782174,3609.902295967515,3586.1221602598303,3513.7507360234013,3543.3626167760294,3538.6931429242363,3568.315022940468,3600.645302793453,3591.2048518009733,3540.4923885311623,3496.8027678785656,3463.689767819482,3477.740113020554,3505.448530656479,3516.585310550203
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,3600.995948362425,3945.181046765756,3793.053750062796,3614.1112619185137,3616.539216028748,3565.07740569502,3625.798293582262,3597.992007753009,3455.0858173056386,3417.5694774775193,3433.4607761519537,3425.529208808692,3405.563098048212,3442.93662309766,3481.527279962934,3473.9157708198954,3496.3954174838314,3500.5250580814063,3496.771551081547,3512.5128030644364,3507.4314301871505,3504.710085762717,3491.33766341524,3498.05361585843
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,3381.978849479917,3848.8750647431043,3842.1855807902853,3722.1630178286227,3680.589004304665,3693.499204588001,3706.021530665046,3622.53125623002,3487.2470755010495,3464.416933398734,3495.2515929205942,3486.691165051094,3437.228619445861,3455.1654266607306,3467.966591995207,3480.004940303293,3492.924924411833,3501.2453160516493,3491.447896415816,3507.714855960354,3502.7576065032654,3496.7889940960504,3498.293178473495,3507.945258714912
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,3233.995113168655,3712.378088652125,3667.199116527671,3599.1981795465754,3493.3777758531473,3520.8267781155223,3576.9336293084552,3528.8363058389687,3400.6374406353657,3370.254455058761,3392.338806285706,3386.1950726898995,3381.692039207899,3408.324653921197,3410.993570890614,3427.1889611295414,3439.209034026733,3452.9461339113655,3451.4483406813333,3466.264225425197,3474.8145264434897,3465.292972369092,3464.9861675200086,3473.005545156852
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,3234.7438293460477,3695.0910488788027,3645.3837216013485,3582.008446423164,3504.7690925210795,3511.972131198016,3573.0990733229237,3519.339617647353,3398.9324020573317,3361.49767039919,3373.5963011102485,3365.6057051249845,3377.1951415973595,3411.5216662842345,3416.0879864809176,3439.4352007104767,3454.962951231163,3469.9700910343836,3465.110031865642,3478.3675292712855,3490.3253356032296,3480.335162338761,3482.1551489268472,3487.0683375946037
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
