model,statistics
NW_PARp,40608.656387145464
NW_PARp-A,38904.73278485302
PARp-A_J_20,44054.72838344977
PARp-A_J_30,43535.06626376134
PARp-A_J_40,43097.61526206341
PARp-A_J_50,39748.8202972013
PARp-A_J_60,39368.19461498934
PARp-A_J_70,40363.68857380674
PARp-A_J_80,40342.855970705685
PARp-A_w_2,40037.47797666895
PARp-A_w_4,40415.87748474295
PARp-A_w_11,41184.85762567277
SeasonalNaive,71040.26739393943
SARIMA,43616.70826114856
StructuralModel,90511.40992276256
ScoreDrivenModel,49171.862824930904
MonthlyMedian,73365.28751515152
