model,statistics
NW_PARp,39085.51413759218
NW_PARp-A,37510.93371218907
PARp-A_J_20,44495.60983187529
PARp-A_J_30,41490.50734009551
PARp-A_J_40,42440.41279819337
PARp-A_J_50,38676.82401147583
PARp-A_J_60,38190.89783280178
PARp-A_J_70,39238.30769552016
PARp-A_J_80,38925.970242177005
PARp-A_w_2,38294.21986672565
PARp-A_w_4,38656.45299898523
PARp-A_w_11,39396.48582743817
SeasonalNaive,70595.85087499999
SARIMA,42242.632083808174
StructuralModel,88573.98554676882
ScoreDrivenModel,48158.8757132911
MonthlyMedian,68751.88362499997
