model,statistics
NW_PARp,33681.89870224999
NW_PARp-A,31975.080364875
PARp-A_J_20,41743.49475600036
PARp-A_J_30,37460.04796271444
PARp-A_J_40,40715.262718168364
PARp-A_J_50,33409.93505213533
PARp-A_J_60,32838.82722963737
PARp-A_J_70,35494.26805141446
PARp-A_J_80,33916.36929422875
PARp-A_w_2,33002.359659239635
PARp-A_w_4,32910.35810666485
PARp-A_w_11,32450.40834255251
SeasonalNaive,60228.59499999994
SARIMA,33503.11611665944
StructuralModel,72633.36657471268
ScoreDrivenModel,39105.69555351035
MonthlyMedian,69477.99999999997
