model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,4031.8385624999987,4493.436918238994,4542.65670886076,4469.615095541401,4484.758717948717,4571.168,4670.485519480519,4633.875228758169,4526.6700657894735,4478.19238410596,4508.426533333333,4541.169395973155,4556.413175675676,4590.884421768708,4582.719178082192,4586.557724137931,4619.287083333333,4634.934685314684,4629.339999999999,4668.729787234042,4695.47157142857,4663.66381294964,4682.135144927535,4697.7962043795615
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,4050.330812499999,4557.967735849056,4597.770379746835,4521.884904458599,4533.879487179485,4594.192129032257,4683.767727272726,4605.979019607843,4468.70625,4445.924437086092,4521.444266666666,4517.55288590604,4521.2707432432435,4555.451088435375,4511.224520547946,4535.932068965517,4596.222777777777,4604.8969230769235,4607.854084507042,4645.545390070922,4677.379857142857,4652.874460431654,4659.095289855072,4687.343211678833
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,5493.851783592137,6394.904236576009,6145.679902083493,6099.338773799793,5651.857152658849,5463.7640649199975,5604.347144971891,5499.761122604029,5181.891108830209,5032.100360674882,4947.95267269454,4940.54847695888,4863.20951867829,4904.028188475094,4816.463080170897,4845.5548194189405,4889.888100248192,4878.880230623964,4829.457519712451,4743.945712399902,4701.2427406963425,4721.410107348009,4742.757378787938,4751.251609876554
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,4777.328823852851,5285.15730617107,5163.844512765464,4837.508118611002,4863.382030301152,4715.367283793417,4889.94589028006,4804.5455759765155,4633.857222738391,4604.833800246547,4632.123443859891,4588.655519475722,4597.711478598925,4669.206124809243,4716.69664484051,4684.28250745334,4716.338355808349,4721.963630037506,4707.132678286732,4734.150315328058,4719.337131789702,4697.832645282591,4672.591475956831,4664.921086357349
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,4542.112460877461,5286.233822991137,5339.139527541867,5113.682863888916,5046.651383605036,5063.345521638873,5130.604195919899,4970.913069736308,4750.161748810028,4763.342783885599,4799.626753088116,4780.6243701860185,4673.571624430371,4678.939873653416,4697.422355782577,4684.493827014047,4726.610517339097,4738.555246310173,4721.2312371647195,4778.835208667687,4750.301729540263,4726.394027241962,4733.2141806228265,4753.364951621085
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,4324.560914129676,5045.082682813627,5055.08937199857,4928.218377871249,4782.313175966484,4811.68609569345,4907.338383053307,4810.778523711732,4588.010302855652,4563.969295841002,4593.091200651461,4590.003049282574,4552.92570779606,4598.517908166197,4602.436275334791,4611.055301557361,4634.151486381734,4659.734119727902,4647.088728182144,4700.307213192821,4689.130182813504,4669.575690188593,4674.985833754448,4679.844256176673
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,4363.764691167793,5025.065932683904,4973.328393134594,4829.99870576653,4757.045174402707,4751.84711350769,4866.602403860953,4772.670496711205,4565.506024045245,4515.706137751172,4517.368353911456,4522.325638716333,4523.5218582136,4569.486195414563,4573.266603329972,4606.821228847277,4616.436401119727,4660.647070421456,4631.938010703058,4681.003340191377,4688.282441532168,4664.742889558956,4677.004180634481,4667.567708506632
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,mean,4299.686844042609,4947.235831769502,4952.200390008276,4776.582851296152,4678.072098221133,4710.910608106139,4810.234484096972,4722.284100211431,4528.817479672285,4487.075796519075,4534.456891478347,4531.800184006523,4551.315286567717,4600.515758874328,4572.8904966115915,4591.084460730775,4624.578706979108,4678.04464765469,4642.763280882169,4673.68971667153,4686.024703067359,4676.399509899281,4692.900232506593,4691.649335589299
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,mean,4257.988776932026,4822.954652378157,4868.665602320005,4742.33440714153,4663.455348959784,4711.695884504852,4794.386192876115,4711.5605790404,4513.428938867083,4468.445300465787,4520.950534709504,4501.746346607614,4508.984106871587,4572.7879083661355,4541.002034154628,4587.548168607682,4619.036357812748,4667.451141595013,4627.888817154702,4647.799869306481,4684.783748981325,4656.970305039398,4699.389343395309,4703.309264359285
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_2,mean,4192.038552518801,4810.603060849118,4816.322125957727,4690.359469950628,4655.056783487167,4676.728530850811,4762.771220895201,4671.779727886951,4500.074265918099,4454.373347539746,4517.732255645806,4489.071781534753,4490.422058621456,4542.059766470074,4526.914022738379,4580.857323289069,4605.2794245500445,4678.145841297252,4619.557023236308,4639.713394589473,4671.980998956926,4648.780620085904,4700.681884826723,4696.704773902824
PARp-A_w_2,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_4,mean,4226.64683012004,4863.09722325149,4838.370695505161,4702.200592611051,4677.155792059815,4702.374699922985,4786.1017474364335,4699.707449973581,4525.6730963210475,4480.318656447667,4536.036138536882,4503.452722096876,4503.057912430677,4554.050298690399,4540.433728551867,4601.118773356571,4626.108269352227,4687.254259009536,4633.765475979768,4649.8169050259185,4681.585253604858,4658.7858532935525,4701.923804002618,4701.492199044848
PARp-A_w_4,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_w_11,mean,4323.323208645389,5024.296022794797,5001.643018637409,4824.133453866907,4790.945803550661,4729.824975514744,4818.840612841029,4788.514226271442,4600.190618537032,4547.473311274254,4565.612778505549,4563.776581780114,4529.931044172058,4603.3871714975,4574.646911284176,4649.884340729079,4668.113865447424,4706.555742473624,4644.578063062029,4658.810553817117,4692.913820000413,4673.814540718146,4710.440946202027,4726.711157825038
PARp-A_w_11,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SeasonalNaive,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SeasonalNaive,mean,6739.1090625,6756.923081761006,6761.271898734177,6785.701337579617,6771.885897435897,6702.536064516128,6729.628571428571,6699.990326797386,6599.465592105264,6517.402185430464,6529.167533333333,6561.6428187919455,6512.02277027027,6492.896122448979,6472.216712328766,6476.456758620689,6408.2602777777765,6326.613636363635,6342.623169014084,6377.072269503545,6414.508714285713,6446.304676258993,6487.707101449275,6529.570656934306
SeasonalNaive,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARIMA,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARIMA,mean,4297.509031669181,4915.181554755907,4972.958500874945,5023.5990971621095,5012.2858572624045,5056.646608355233,5035.999777910463,4998.795537016423,4837.960261980511,4746.534050920669,4754.809370696749,4810.860044787168,4788.563209449072,4824.429283059716,4833.645410908679,4871.8274921265,4880.093507277376,4910.703334520379,4907.187532082706,4967.399161400919,5012.407943398299,4962.503753798852,4991.367617239748,4988.088487019592
SARIMA,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StructuralModel,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
