model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,2388.5950000000003,2794.8500000000004,3026.1550000000007,2981.7599999999984,2842.88,2931.6499999999996,2936.2149999999992,2991.7599999999984,2843.3399999999997,3015.1499999999996,3063.6949999999997,2996.1499999999996,3150.74,3108.8199999999997,3123.3049999999994,3234.4399999999987,3258.379999999999,3385.75,3255.044999999999,3427.8199999999997,3218.379999999999,3373.83,3254.129999999999,3228.9399999999987
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,2375.08,2784.7999999999993,2925.5750000000007,2948.2799999999997,2889.4050000000007,3088.1100000000006,3215.629999999999,3091.9399999999987,3009.705,2996.2299999999996,3089.289999999999,3140.8199999999997,3162.5599999999995,2988.3600000000006,3058.0549999999994,3124.83,3177.629999999999,3261.17,3262.8900000000003,3386.3199999999997,3186.294999999999,3442.33,3294.129999999999,3291.4399999999987
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,3752.7487950646155,4266.462825501727,4772.359277261969,4793.124245142187,4476.874542611399,3888.3079744041997,4177.393366875927,4328.044997251809,4003.636164840552,3863.1492010135225,3874.401183535766,3961.9415731679765,3557.860438725659,3545.0098007781935,3159.909607277093,3271.0848363444657,3310.202003069561,3441.1267142878914,3612.6501677386623,3363.059662258812,3490.864942014884,3410.9370425887782,3372.010403894931,3340.4555958882793
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,3507.674304232906,3928.5362099948143,4243.141423707069,3809.264901329054,3517.1635222485743,3338.6340803481417,3692.238102207106,3363.299538168807,3106.893469709047,3360.283387896294,3220.9209698970417,3301.83963285505,3384.8671441433644,3218.2210064984756,3504.620287248462,3539.4207674656827,3461.333378426649,3275.8218878180287,3256.773252424173,3277.7627323158586,3513.2785525238137,3044.1358764710385,3191.5819704431124,2893.096192805482
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
