model,statistics
NW_PARp,64438.0269090909
NW_PARp-A,61188.708727272744
PARp-A_J_20,59201.90606186685
PARp-A_J_30,59339.617513787205
PARp-A_J_40,61191.759292459916
PARp-A_J_50,58907.37103111875
PARp-A_J_60,59684.50815709373
PARp-A_J_70,61956.258788574916
PARp-A_J_80,63151.992518357445
PARp-A_w_2,62627.38280359226
PARp-A_w_4,63082.92521864778
PARp-A_w_11,63661.63237603498
SeasonalNaive,71040.26739393943
SARIMA,63975.254755606096
StructuralModel,89745.9806101727
ScoreDrivenModel,70017.9616107574
MonthlyMedian,73365.28751515152
