model,statistics
NW_PARp,61995.16625000001
NW_PARp-A,59016.912375
PARp-A_J_20,59936.932539604706
PARp-A_J_30,56058.909055203214
PARp-A_J_40,59877.61339529734
PARp-A_J_50,56623.79222151387
PARp-A_J_60,57349.45155203404
PARp-A_J_70,59816.11946962593
PARp-A_J_80,60691.8790720274
PARp-A_w_2,59727.397271826456
PARp-A_w_4,60176.60322073444
PARp-A_w_11,60723.051424588855
SeasonalNaive,70595.85087499999
SARIMA,61007.426247360054
StructuralModel,87091.43872572642
ScoreDrivenModel,67384.7426417529
MonthlyMedian,68751.88362499997
