model,statistics
NW_PARp,49171.66500000001
NW_PARp-A,43838.749999999985
PARp-A_J_20,59024.12073206893
PARp-A_J_30,53835.7049098024
PARp-A_J_40,63775.08432029701
PARp-A_J_50,53831.12372684796
PARp-A_J_60,51799.476471964575
PARp-A_J_70,49249.98245939688
PARp-A_J_80,48125.03587753126
PARp-A_w_2,46686.12873511489
PARp-A_w_4,47681.317361917274
PARp-A_w_11,48105.63018202188
SeasonalNaive,60228.59499999994
SARIMA,47355.478972901416
StructuralModel,74767.75600437426
ScoreDrivenModel,62653.0399380719
MonthlyMedian,69477.99999999997
