dates,SE,S,NE,N
1931-01-01,69176.11,7387.349999999999,14094.05,15760.5
1931-02-01,102956.79000000001,3292.79,13144.06,25971.06
1931-03-01,106915.48999999999,3512.51,18853.32,33204.97
1931-04-01,80007.16,2356.11,20861.9,36111.530000000006
1931-05-01,54895.21000000001,17580.17,14266.9,23365.84
1931-06-01,40692.07000000001,16493.300000000003,7171.32,14841.51
1931-07-01,31931.000000000004,13096.779999999999,5548.71,6548.43
1931-08-01,25391.579999999998,5939.700000000001,4816.04,3990.76
1931-09-01,25899.559999999998,15376.47,4235.11,2831.43
1931-10-01,27643.270000000004,7805.219999999999,4023.61,3280.45
1931-11-01,31830.41,4491.79,5860.96,5933.650000000001
1931-12-01,47490.439999999995,5438.49,6244.92,8711.52
1932-01-01,69175.82999999999,5263.91,11116.15,15085.42
1932-02-01,76760.25,8039.3,13496.16,21284.72
1932-03-01,68424.84,8964.25,9693.53,26229.33
1932-04-01,51738.55000000001,22965.45,6153.28,19060.0
1932-05-01,40183.42,17059.14,4270.56,11872.710000000001
1932-06-01,35177.219999999994,14142.61,3849.64,6831.35
1932-07-01,27351.88,10018.95,3500.18,4599.58
1932-08-01,21315.63,7176.389999999999,2973.2,2756.87
1932-09-01,17881.36,13546.32,2711.4,2180.4900000000002
1932-10-01,25293.81,13659.32,2780.11,2576.3
1932-11-01,31531.48,5935.08,5511.59,4409.910000000001
1932-12-01,58410.79,7975.85,10204.56,8253.11
1933-01-01,79683.19999999998,2988.81,14863.35,13275.460000000001
1933-02-01,68398.18,3631.26,16864.82,23005.929999999997
1933-03-01,58315.77,3163.46,10330.98,25066.879999999997
1933-04-01,53248.02,1911.3799999999999,8669.95,26135.45
1933-05-01,38363.92999999999,2369.4700000000003,5977.71,21236.860000000004
1933-06-01,27964.67,2577.8199999999997,4063.0,9824.650000000001
1933-07-01,21738.12,2749.34,3772.61,4949.09
1933-08-01,17164.100000000002,4110.51,3276.61,2927.66
1933-09-01,16149.94,5905.33,2742.29,1949.74
1933-10-01,20988.69,11668.95,3246.57,2108.83
1933-11-01,22655.670000000002,4902.42,5562.54,5172.869999999999
1933-12-01,44321.990000000005,2065.8,9953.59,9720.03
1934-01-01,57423.659999999996,4145.91,17840.46,15581.369999999999
1934-02-01,52668.780000000006,8993.98,14134.09,20308.390000000003
1934-03-01,52046.049999999996,5645.07,8383.25,26167.99
1934-04-01,43226.29,7732.699999999999,5252.54,27127.070000000003
1934-05-01,30945.91,6622.6,5426.69,22618.07
1934-06-01,22893.31,4981.93,3634.45,11819.86
1934-07-01,18629.960000000003,3932.29,3052.5,5429.82
1934-08-01,13758.94,5356.870000000001,2765.97,3141.4300000000003
1934-09-01,13876.589999999998,5865.43,3022.84,1854.5
1934-10-01,15130.02,6730.549999999999,3031.02,2283.98
1934-11-01,18337.699999999997,2832.6,3004.07,2988.3700000000003
1934-12-01,46481.33,5756.34,5006.53,8484.41
1935-01-01,71913.82,3055.11,12947.32,21889.54
1935-02-01,91051.98,2345.16,16816.93,28602.88
1935-03-01,80133.28,3891.4800000000005,17192.22,30689.9
1935-04-01,71472.15,2224.75,13620.56,36451.26
1935-05-01,44844.57,1448.92,12510.73,28003.29
1935-06-01,33529.520000000004,4882.15,6126.95,18517.440000000002
1935-07-01,25136.12,9559.16,4744.91,7255.780000000001
1935-08-01,23875.950000000004,13886.03,3750.81,4636.99
1935-09-01,21158.010000000002,17290.42,3158.89,3240.88
1935-10-01,38047.82,36494.229999999996,3168.44,2830.29
1935-11-01,30639.54,9437.23,3738.79,4692.32
1935-12-01,39380.84,10303.96,6981.04,10801.58
1936-01-01,46902.78,10342.61,8509.81,18588.399999999998
1936-02-01,43753.54000000001,3890.46,8112.61,25223.64
